AMIE,INSTITUCIO,Validació,IE_Reporta,Nota,X,Y,Longitud,Latitud
15B00143,,6 años lectivos sin estudiantes,SI,IE reportadas en suspension temporal que debería cerrar,865532.839000,9895591.396000,-77.71641666770,-0.94305555214
15B00196,,5 años lectivos sin estudiantes,SI,IE reportadas en suspension temporal que debería cerrar,920644.050000,9886581.610000,-77.22193606790,-1.02388606970
15H00104,,5 años lectivos sin estudiantes,SI,IE reportadas en suspension temporal que debería cerrar,901843.961000,9891642.182000,-77.39061110760,-0.97838888671
15H00165,,5 años lectivos sin estudiantes,SI,IE reportadas en suspension temporal que debería cerrar,855942.420000,9901694.160000,-77.80252506070,-0.88800934009
15H00392,,6 años lectivos sin estudiantes,SI,IE reportadas en suspension temporal que debería cerrar,854983.988000,9888597.610000,-77.81101756580,-1.00632038459
17H01834,,4 años lectivos sin estudiantes,SI,IE reportadas en suspension temporal que debería cerrar,755448.000000,10012971.000000,-78.70496664130,0.11725793780
17H01886,,5 años lectivos sin estudiantes,SI,IE reportadas en suspension temporal que debería cerrar,749748.810000,10018140.930000,-78.75613902010,0.16399998591
23H00466,,4 años lectivos sin estudiantes,SI,IE reportadas en suspension temporal que debería cerrar,718505.748000,9961260.883000,-79.03669444010,-0.35027777402
"05B00085",,2 años lectivos sin estudiantes,NO,IE reportadas en suspension temporal que no cumplen los 3 años para el cierre,748784.000000,9908187.000000,-78.76457887920,-0.83002411807
10H00331,,2 años lectivos sin estudiantes,NO,IE reportadas en suspension temporal que no cumplen los 3 años para el cierre,767231.000000,10030020.090000,-78.59914332170,0.27136113669
15B00107,,2 años lectivos sin estudiantes,NO,IE reportadas en suspension temporal que no cumplen los 3 años para el cierre,844056.714000,9882088.145000,-77.90902778000,-1.06522221912
17H00429,,2 años lectivos sin estudiantes,NO,IE reportadas en suspension temporal que no cumplen los 3 años para el cierre,783180.000000,9984852.000000,-78.45596759160,-0.13691272040
17H00679,,2 años lectivos sin estudiantes,NO,IE reportadas en suspension temporal que no cumplen los 3 años para el cierre,778966.000000,9976616.000000,-78.49379099600,-0.21135864942
17H00728,,2 años lectivos sin estudiantes,NO,IE reportadas en suspension temporal que no cumplen los 3 años para el cierre,777647.000000,9975870.000000,-78.50563214190,-0.21810342686
17H01036,,2 años lectivos sin estudiantes,NO,IE reportadas en suspension temporal que no cumplen los 3 años para el cierre,773073.000000,9964499.000000,-78.54667867770,-0.32089227804
17H01190,,2 años lectivos sin estudiantes,NO,IE reportadas en suspension temporal que no cumplen los 3 años para el cierre,776837.540000,9971123.630000,-78.51289194900,-0.26100580571
17H01229,,2 años lectivos sin estudiantes,NO,IE reportadas en suspension temporal que no cumplen los 3 años para el cierre,775302.060000,9970346.850000,-78.52667665770,-0.26802972407
17H01368,,2 años lectivos sin estudiantes,NO,IE reportadas en suspension temporal que no cumplen los 3 años para el cierre,777955.000000,9988092.000000,-78.50288045010,-0.10763241653
17H02928,,2 años lectivos sin estudiantes,NO,IE reportadas en suspension temporal que no cumplen los 3 años para el cierre,781547.060000,9990561.650000,-78.47063236680,-0.08530795739
17H03376,,2 años lectivos sin estudiantes,NO,IE reportadas en suspension temporal que no cumplen los 3 años para el cierre,783847.000000,9965077.000000,-78.44994814900,-0.31564431757
17H04113,,2 años lectivos sin estudiantes,NO,IE reportadas en suspension temporal que no cumplen los 3 años para el cierre,783771.930000,9962574.080000,-78.45061641250,-0.33826661546
17H04311,,2 años lectivos sin estudiantes,NO,IE reportadas en suspension temporal que no cumplen los 3 años para el cierre,785344.000000,9962183.000000,-78.43650159430,-0.34179752759
17H04367,,2 años lectivos sin estudiantes,NO,IE reportadas en suspension temporal que no cumplen los 3 años para el cierre,814517.000000,10000424.000000,-78.17466856060,0.00383136661
23H00195,,2 años lectivos sin estudiantes,NO,IE reportadas en suspension temporal que no cumplen los 3 años para el cierre,709353.000000,9957813.000000,-79.11889630290,-0.38147189754
23H00718,,2 años lectivos sin estudiantes,NO,IE reportadas en suspension temporal que no cumplen los 3 años para el cierre,705532.000000,9969396.000000,-79.15323639800,-0.27673918336
"05H00808",,3 años lectivos sin estudiantes,SI,IE cerradas luego de 3 años de suspensión temporal,733322.120000,9955212.040000,-78.90361201420,-0.40493763012
"05H00906",,3 años lectivos sin estudiantes,SI,IE cerradas luego de 3 años de suspensión temporal,764784.000000,9897886.000000,-78.62083454480,-0.92305498511
10H00002,,3 años lectivos sin estudiantes,SI,IE cerradas luego de 3 años de suspensión temporal,820368.890000,10036425.050000,-78.12209746360,0.32913039510
17H04110,,3 años lectivos sin estudiantes,SI,IE cerradas luego de 3 años de suspensión temporal,787263.000000,9990482.000000,-78.41931596470,-0.08602440775
17H04237,,3 años lectivos sin estudiantes,SI,IE cerradas luego de 3 años de suspensión temporal,774881.000000,9973686.000000,-78.53046282350,-0.23784840734
23H00334,,3 años lectivos sin estudiantes,SI,IE cerradas luego de 3 años de suspensión temporal,703891.850000,9972644.970000,-79.16797280570,-0.24736216571
23H00838,,3 años lectivos sin estudiantes,SI,IE cerradas luego de 3 años de suspensión temporal,673104.000000,9993009.000000,-79.44454949700,-0.06322630662
